Date,Tweet,City,Country,random #
Fri Apr 27 18:53:36 +0000 2018,  When people say the flu shot made you sick: THE FLU SHOT DIDNT MAKE YOU SICK ITS YOUR IMMUNE SYSTEMS RESPONSE TO THE FLU SHO…,none,none,0.567859064
Tue May 01 17:37:37 +0000 2018,Flu ihamba nam straight ,none,none,0.440287599
Thu Apr 05 19:00:31 +0000 2018,"  Join us via livestream NOW for the Going Viral #flu symposium session on ""Predicting and Preventing the Next Pandemic""…",none,none,0.355604644
Mon Apr 23 18:37:16 +0000 2018,  Hell is one gigantic movie theater and everyone there has the flu.,none,none,0.536079684
Thu Apr 05 18:33:27 +0000 2018,  I actually been experiencing flu like symptoms lately Dr... ,none,none,0.00190027
Sat Mar 31 22:19:54 +0000 2018,  Check out  Tweet: ,none,none,0.96705624
Thu Apr 26 18:15:20 +0000 2018,  I woke up to what feels like the flu... then stepped on my laptop charger and broke it.. then go to walk in my room to st…,none,none,0.039160152
Tue Apr 17 17:15:17 +0000 2018,"  Kovsie Students, the pharmacy on campus is doing Flu Vaccinations and you dont need to make a booking or anything. You can use…",none,none,0.586831488
Mon Apr 30 19:11:50 +0000 2018,"  ""If we do not work quickly to remove the #pandemic threat forever, those black-&amp;-white images of yesteryear—the endless rows o…",none,none,0.703560326
Mon Apr 16 18:40:42 +0000 2018,Lucchi - The Calling(Flu Season)  #nowplaying #listenlive,none,none,0.129696928
Tue Apr 17 17:25:12 +0000 2018,This flu is really bodying me ,none,none,0.134990047
Tue Apr 17 17:13:03 +0000 2018,  Always feel para when I tweet stuff about my mental health but shouldn’t feel ashamed. Wouldn’t hold back if a wanted to…,none,none,0.241902173
Wed Apr 25 20:17:03 +0000 2018,I’m what?  I hate you ,none,none,0.447969695
Thu Apr 19 18:08:46 +0000 2018," WAXIEbuzz ""DYK: About 5% of passengers on flights have a cold or the flu? #stayinghealthy #sanitizerisyourfriend  by CleanLinkNews""",none,none,0.123454521
Tue Apr 03 18:44:18 +0000 2018,It should be illegal to get the flu 2 days before your birthday ,none,none,0.457065687
Mon Apr 30 19:11:54 +0000 2018,the worst shit is when you have the flu AND you have your fucking period. Man I’m going through it rn,none,none,0.839034266
Thu Apr 05 18:42:33 +0000 2018,"  This is the same brotha that said the “flu vaccine” and was actually giving people and the flu and killing them, he mysterio…",none,none,0.210440805
Fri Apr 27 19:34:30 +0000 2018,2018 deadly flu season still in effect - Cabrini College Loquitur ,none,none,0.197769634
Sun Apr 01 20:50:09 +0000 2018,Playing Fortnite with the Flu!  ,none,none,0.462735333
Wed May 02 18:17:57 +0000 2018,"  If you are living with HIV and you get the flu, it will put added stress on your already weakened immune system, which c…",none,none,0.319836312
Tue Apr 03 18:47:41 +0000 2018,"  #Flu season may have peaked in February, but we’re not out of the woods yet, says  ",none,none,0.47605553
Thu Apr 05 18:35:39 +0000 2018,  I don't think it's a mere coincidence that Timothy Cunningham spoke up about flu shots being dangerous in the midst of…,none,none,0.082873439
Thu Apr 26 17:42:19 +0000 2018,  #STUDY: Vaccinating Pregnant Women Didn't Reduce Risk 4 #Flu or #Pneumonia 4 Moms &amp; Babies   ,none,none,0.52350293
