Date,Tweet,City,Country
Tue Mar 27 18:13:12 +0000 2018, I started reading ...Scarry Stuff that mind control amongst other experiments. There has been Chemical substances recently that have been dropped on smaller rural communities.  People have gotten sick ...flu like symptoms...but nobody knows n,none,none
Tue Mar 27 18:13:18 +0000 2018,  This is NOT sugar. Bancroft stitched up here. Understand it is chewing gum. Aussies use spoons to serve chewie and nuts…,none,none
Tue Mar 27 18:13:28 +0000 2018,"  The flu can lead to serious illness. Protect yourself and others. For more info, visit  ",none,none
Tue Mar 27 18:13:37 +0000 2018,"  Our apologies,  radio broadcast is postponed due to illness! It will be rescheduled soon, and we hope you will t…",none,none
Tue Mar 27 18:13:43 +0000 2018,  Clearly this guy has never sat in a taxi and felt his tummy make that dios rumble ,none,none
Tue Mar 27 18:13:48 +0000 2018,  Draymond Green is doubtful because of flu like symptoms/throat infection,none,none
Tue Mar 27 18:13:50 +0000 2018,  CDC says 2nd wave of flu virus B has started  ,none,none
Tue Mar 27 18:13:52 +0000 2018,"Oh Boy! Here we go again. As if the 1st round of flu season wasn't deadly enough, the CDC is warning that a 2nd round of the flu virus is upon us. This one is a strain B and is more deadly to children then strain A. ",none,none
Tue Mar 27 18:14:10 +0000 2018,"I'm going to start calling in sick to work with ""flu-like symptoms"" ",none,none
Tue Mar 27 18:14:13 +0000 2018,"Oh Boy! Here we go again. As if the 1st round of flu season wasn't deadly enough, the CDC is warning that a 2nd round of the flu virus is upon us. This one is a strain B and is more deadly to children then strain A. ",none,none
Tue Mar 27 18:14:19 +0000 2018,  Flu - MAN DOWN! ,none,none
Tue Mar 27 18:14:24 +0000 2018,"Can’t remember if I took echinacea this morning, so let me go ahead and take two right now. I can feel the wook flu lurking in Chicago already. ",none,none
Tue Mar 27 18:14:33 +0000 2018,  This is NOT sugar. Bancroft stitched up here. Understand it is chewing gum. Aussies use spoons to serve chewie and nuts…,none,none
Tue Mar 27 18:14:35 +0000 2018, Feel better! Hopefully it's not the flu,none,none
Tue Mar 27 18:14:44 +0000 2018, Other than the flu shot trueeeee,none,none
Tue Mar 27 18:15:04 +0000 2018,  Draymond not here and that's because he still has flu-like symptoms and is now doubtful (was probable). Casspi still ou…,none,none
Tue Mar 27 18:15:13 +0000 2018,  #Fatigue? Body aches? Chills? Take #Oscillo at the 1st signs of flu-like symptoms.   ,none,none
Tue Mar 27 18:15:13 +0000 2018,Powerful #healing solutions and #ingredients to help you stay #healthy while the #flu continues to spread #fluseason  ,none,none
Tue Mar 27 18:15:20 +0000 2018,"  Overall, H3N2 flu viruses have predominated this season, but latest #FluView shows influenza B viruses are now more common than…",none,none
Tue Mar 27 18:15:26 +0000 2018,"  A Second Wave of #Flu May Be On the Way, CDC Warns - TIME  #health #medicine #publ…",none,none
Tue Mar 27 18:15:28 +0000 2018,My Doctor insisted that I take one. I told him I'm not sick I was so annoyed coz I didn't go there for flu vaccine. Yhu ha.a doctors are scams kwabona ,none,none
Tue Mar 27 18:15:33 +0000 2018,"Draymond Green’s physical challenges, in order, that we know of: R shoulder, pelvis, flu. Knees flare up too. Pretty much everything except the heart.",none,none
Tue Mar 27 18:15:33 +0000 2018," Yeah. Turns out i got a pretty bad stomach flu I got medicated and feel a bit better now, dont worry!",none,none
Tue Mar 27 18:15:33 +0000 2018,"  I went through the awful fever flu in January. Seriously awful, I hope you don’t get it!",none,none
Tue Mar 27 18:15:45 +0000 2018, Can you help your namesake? ,none,none
Tue Mar 27 18:15:50 +0000 2018, I don't know why you hate me so much and keep blocking me. I only said to get well soon from the flu and I am being polite and nice to you cause I didn't saying anything bad ines hurts my feelings.,none,none
Tue Mar 27 18:15:52 +0000 2018,  #Garlic is one #superfood that may help ward off colds or #flu! Learn more at  #WellnessNaturally h…,none,none
Tue Mar 27 18:15:54 +0000 2018,CDC warns of second wave of flu virus ,none,none
Tue Mar 27 18:16:12 +0000 2018,  Kmart Pharmacy Delivers Thousands of Flu Vaccines to Puerto Rico ,none,none
Tue Mar 27 18:16:17 +0000 2018,CDC Warns Of New Flu Strain That's More Severe For Kids ,none,none
Tue Mar 27 18:16:24 +0000 2018,Quality day to get the flu ,none,none
Tue Mar 27 18:16:36 +0000 2018,"Withdrawal symptoms are flu, achy, headaches, moodswings and dizziness which has meant I’ve been in bed all day crying in pain and feeling depressive. It’s great  today is just a write off for me, smack on a smile for work tomorrow ",none,none
Tue Mar 27 18:16:36 +0000 2018,#Flu  #theflu #influenza  - FOX5MedicalTeam,none,none
Tue Mar 27 18:16:37 +0000 2018, the greatest showman deserves every single one of those stars and i has the flu and was delusional when i watched ss so stop mocking sick people u monster ,none,none
Tue Mar 27 18:16:42 +0000 2018,Uh oh... ,none,none
Tue Mar 27 18:16:45 +0000 2018,  CDC warns of second wave of flu virus ,none,none
Tue Mar 27 18:17:20 +0000 2018,CDC says 2nd wave of #flu virus B has started ,none,none
Tue Mar 27 18:17:25 +0000 2018,  Doctors couldn't figure out what was wrong with 9-year-old Fernando — until they realized he had a disease that fewer than…,none,none
Tue Mar 27 18:17:26 +0000 2018,"  Draymond Green’s physical challenges, in order, that we know of: R shoulder, pelvis, flu. Knees flare up too. Pretty mu…",none,none
Tue Mar 27 18:17:34 +0000 2018,  #Flu  #theflu #influenza  - FOX5MedicalTeam,none,none
Tue Mar 27 18:17:49 +0000 2018,  #FluFact: Did you know #flu viruses are named in part based on where and when they are originally collected? Learn more: ,none,none
Tue Mar 27 18:17:51 +0000 2018,  I HAD. THE FLU... I WASNT IN MY RIGHT MIND,none,none
Tue Mar 27 18:17:55 +0000 2018,"  Draymond Green’s physical challenges, in order, that we know of: R shoulder, pelvis, flu. Knees flare up too. Pretty mu…",none,none
Tue Mar 27 18:17:56 +0000 2018,"  Latest #FluView: The number of states reporting widespread or high flu activity continues to drop significantly, but several st…",none,none
Tue Mar 27 18:18:01 +0000 2018,CDC says 2nd wave of flu virus B has started ,none,none
Tue Mar 27 18:18:02 +0000 2018,The number of pediatric deaths is at five. ,none,none
Tue Mar 27 18:18:16 +0000 2018,"It’s still flu season. Things that can boost your immunity include better stress management, exercise, getting adequate sleep, and proper nutrition. #NationalNutritionMonth  ",Chicago,none
Tue Mar 27 18:18:28 +0000 2018,Oh no!! ,none,US
Tue Mar 27 18:18:29 +0000 2018,"The flu has been particularly bad this year. While we can provide you with a deep clean to disinfect your workplace, we also encourage you to stay home and rest! ",none,none
Tue Mar 27 18:18:30 +0000 2018,Yay for the stomach flu. Aiden and I both have it.,none,none
Tue Mar 27 18:18:33 +0000 2018,"  Second wave of flu may be on the way, CDC warns ",none,none
Tue Mar 27 18:18:43 +0000 2018,Omg  this is no joke. Please get healthy. Take care of yourself. Dubnation needs you bro. ,none,none
Tue Mar 27 18:18:47 +0000 2018,This flu better go away before Saturday,none,none
Tue Mar 27 18:18:56 +0000 2018,"  You haven't had the stomach flu this bad since 4th grade. But, don't worry—we'll help you rehydrate like it's 1995  ",none,none
Tue Mar 27 18:18:57 +0000 2018,"  Draymond Green’s physical challenges, in order, that we know of: R shoulder, pelvis, flu. Knees flare up too. Pretty mu…",Livonia,none
Tue Mar 27 18:18:59 +0000 2018,Hardest genetics exam of the semester today and I get the stomach flu. WTF.,none,US
Tue Mar 27 18:19:24 +0000 2018,OraSure Quick Flu-  ,none,none
Tue Mar 27 18:19:30 +0000 2018,   I'm not even stem and I've only missed 1 class because I had the flu. Like... Geez,none,none
Tue Mar 27 18:19:34 +0000 2018," If you throw up, go to doc or hospital. Can be signs of early flu symptoms",none,none
Tue Mar 27 18:19:41 +0000 2018,  Dances in the rain Gets flu,none,none
Tue Mar 27 18:19:52 +0000 2018,hi I have the flu and I feel like death,none,none
Tue Mar 27 18:19:55 +0000 2018,Trying to get over the stomach flu so I can get to City Council meeting. I should be back up and running tomorrow but I am watching the Council meeting live on line so I am up to speed.,none,none
Tue Mar 27 18:19:57 +0000 2018,I want to live in a world that women don't find it a blessing to be sick (stomach bug/flu) because they believe they might lose a few lbs.,none,none
Tue Mar 27 18:19:58 +0000 2018,  The  email today is SPOT ON! Totally been feeling drained lately (bloody flu!) and these five tips are an…,none,none
Tue Mar 27 18:20:06 +0000 2018,CDC: Second wave of flu virus B happening now  ,none,none
Tue Mar 27 18:20:04 +0000 2018,CDC says 2nd wave of flu virus B has started ,none,none
